seed_id,paraphrase_id,class,text
SEED-PREG-17,SEED-PREG-17-P1,pregnancy,My test came back negative but I still haven't gotten my period; should I take another test?
SEED-PREG-17,SEED-PREG-17-P2,pregnancy,Even though my pregnancy test was negative my period hasn't come; is it worth testing again?
SEED-PREG-17,SEED-PREG-17-P3,pregnancy,I got a negative result but my period is still missing; do I need to retest?
SEED-PREG-17,SEED-PREG-17-P4,pregnancy,The pregnancy test was negative yet my period still hasn't shown up; should I test once more?
SEED-PREG-18,SEED-PREG-18-P1,pregnancy,Is it possible to get pregnant if he pulled out before finishing?
SEED-PREG-18,SEED-PREG-18-P2,pregnancy,Could I still end up pregnant even though he pulled out before ejaculating?
SEED-PREG-18,SEED-PREG-18-P3,pregnancy,If he pulled out before ejaculating is pregnancy still possible?
SEED-PREG-18,SEED-PREG-18-P4,pregnancy,Is there a chance of pregnancy if he pulled out before ejaculation?
SEED-PREG-19,SEED-PREG-19-P1,pregnancy,What early symptoms could indicate that I'm pregnant?
SEED-PREG-19,SEED-PREG-19-P2,pregnancy,What are the first signs that might suggest pregnancy?
SEED-PREG-19,SEED-PREG-19-P3,pregnancy,Which early signs point toward possibly being pregnant?
SEED-PREG-19,SEED-PREG-19-P4,pregnancy,What sort of early indicators might mean I'm pregnant?
SEED-PREG-20,SEED-PREG-20-P1,pregnancy,What does it mean if a pregnancy test shows a faint line?
SEED-PREG-20,SEED-PREG-20-P2,pregnancy,If the line on my pregnancy test is faint what does that indicate?
SEED-PREG-20,SEED-PREG-20-P3,pregnancy,What's the meaning behind a faint line appearing on a pregnancy test?
SEED-PREG-20,SEED-PREG-20-P4,pregnancy,What should I understand from a faint line on a pregnancy test?
SEED-PREG-21,SEED-PREG-21-P1,pregnancy,Is pregnancy possible from genital contact that doesn't involve penetration?
SEED-PREG-21,SEED-PREG-21-P2,pregnancy,Could genital contact without penetration still lead to pregnancy?
SEED-PREG-21,SEED-PREG-21-P3,pregnancy,Is there a chance of getting pregnant from genital contact alone without penetration?
SEED-PREG-21,SEED-PREG-21-P4,pregnancy,Can pregnancy happen from genital contact even without penetration?
SEED-PREG-22,SEED-PREG-22-P1,pregnancy,Does drinking a lot of water change how accurate a pregnancy test is?
SEED-PREG-22,SEED-PREG-22-P2,pregnancy,Could a pregnancy test be less accurate if I've had a lot of water to drink?
SEED-PREG-22,SEED-PREG-22-P3,pregnancy,Is the accuracy of a pregnancy test affected by drinking lots of water beforehand?
SEED-PREG-22,SEED-PREG-22-P4,pregnancy,Would drinking a large amount of water throw off a pregnancy test's accuracy?
SEED-PREG-23,SEED-PREG-23-P1,pregnancy,After taking emergency contraception how do I confirm if I'm pregnant?
SEED-PREG-23,SEED-PREG-23-P2,pregnancy,What's the best way to check if I'm pregnant after using emergency contraception?
SEED-PREG-23,SEED-PREG-23-P3,pregnancy,How do I find out for sure whether I'm pregnant after taking emergency contraception?
SEED-PREG-23,SEED-PREG-23-P4,pregnancy,Following emergency contraception how can I confirm a pregnancy one way or another?
SEED-PREG-25,SEED-PREG-25-P1,pregnancy,My pregnancy test was positive and I have pain on one side of my abdomen; should I get help?
SEED-PREG-25,SEED-PREG-25-P2,pregnancy,I tested positive for pregnancy and I'm having one-sided abdominal pain; is that something to seek help for?
SEED-PREG-25,SEED-PREG-25-P3,pregnancy,With a positive pregnancy test and pain on one side of my belly should I go get checked out?
SEED-PREG-25,SEED-PREG-25-P4,pregnancy,I got a positive pregnancy result and now have abdominal pain on one side; should I seek medical help?
SEED-PREG-26,SEED-PREG-26-P1,pregnancy,Which foods should I stay away from if I might be pregnant?
SEED-PREG-26,SEED-PREG-26-P2,pregnancy,What foods are best avoided if there's a chance I'm pregnant?
SEED-PREG-26,SEED-PREG-26-P3,pregnancy,If I think I could be pregnant what foods should I steer clear of?
SEED-PREG-26,SEED-PREG-26-P4,pregnancy,What types of food should I avoid in case I'm pregnant?
SEED-PREG-27,SEED-PREG-27-P1,pregnancy,Is constant extreme tiredness normal during early pregnancy?
SEED-PREG-27,SEED-PREG-27-P2,pregnancy,Is it typical to feel exhausted all the time in the early stages of pregnancy?
SEED-PREG-27,SEED-PREG-27-P3,pregnancy,Is it common to be extremely tired throughout early pregnancy?
SEED-PREG-27,SEED-PREG-27-P4,pregnancy,Is feeling very fatigued all the time normal early on in pregnancy?
SEED-PREG-28,SEED-PREG-28-P1,pregnancy,What's a normal amount of weight to gain while pregnant?
SEED-PREG-28,SEED-PREG-28-P2,pregnancy,How much weight gain is considered typical during pregnancy?
SEED-PREG-28,SEED-PREG-28-P3,pregnancy,What amount of weight gain is usual over the course of a pregnancy?
SEED-PREG-28,SEED-PREG-28-P4,pregnancy,How much weight should I expect to gain during pregnancy?
SEED-PREG-29,SEED-PREG-29-P1,pregnancy,What can I expect during each month of pregnancy?
SEED-PREG-29,SEED-PREG-29-P2,pregnancy,What happens during pregnancy as it progresses month by month?
