seed_id,paraphrase_id,class,text
SEED-CONTRA-15,SEED-CONTRA-15-P1,contraception,My birth control pill was 6 hours late today; is there anything extra I should do?
SEED-CONTRA-15,SEED-CONTRA-15-P2,contraception,I'm 6 hours late taking my pill today; do I need to take any additional steps?
SEED-CONTRA-15,SEED-CONTRA-15-P3,contraception,Today I took my pill 6 hours later than usual; should I do anything different?
SEED-CONTRA-15,SEED-CONTRA-15-P4,contraception,I was 6 hours behind schedule with my birth control pill today; does that mean I need to do something extra?
SEED-CONTRA-16,SEED-CONTRA-16-P1,contraception,I threw up shortly after taking my pill; what should I do now?
SEED-CONTRA-16,SEED-CONTRA-16-P2,contraception,Shortly after taking my birth control pill I vomited; what am I supposed to do?
SEED-CONTRA-16,SEED-CONTRA-16-P3,contraception,I got sick and vomited right after taking my pill; what's the next step?
SEED-CONTRA-16,SEED-CONTRA-16-P4,contraception,My birth control pill came back up shortly after I took it; what should I do?
SEED-CONTRA-17,SEED-CONTRA-17-P1,contraception,I missed three pills in a row last week; do I need to start fresh or add another method temporarily?
SEED-CONTRA-18,SEED-CONTRA-18-P1,contraception,I missed several of my pills and then had unprotected sex; could my contraception have not worked?
SEED-CONTRA-18,SEED-CONTRA-18-P2,contraception,After forgetting several pills I had sex without a condom; is there a chance my contraception didn't work?
SEED-CONTRA-17,SEED-CONTRA-17-P2,contraception,Last week I skipped three pills back to back; should I start a new pack or use another method temporarily?
SEED-CONTRA-17,SEED-CONTRA-17-P3,contraception,I forgot to take three pills in a row last week; does that mean starting over or using something extra for a while?
SEED-CONTRA-17,SEED-CONTRA-17-P4,contraception,Three of my pills in a row got skipped last week; should I restart my pack or use backup protection for now?
SEED-CONTRA-18,SEED-CONTRA-18-P3,contraception,I skipped a number of pills and then had sex with no condom; could that mean my contraception didn't work?
SEED-CONTRA-18,SEED-CONTRA-18-P4,contraception,Several of my pills were missed and I had unprotected sex afterward; is it possible my contraception failed?
SEED-CONTRA-19,SEED-CONTRA-19-P1,contraception,If I'm not having sex is it fine to pause the pill for a month or should I continue taking it?
SEED-CONTRA-19,SEED-CONTRA-19-P2,contraception,Can I take a month off the pill when I'm not sexually active or is it better to keep taking it anyway?
SEED-CONTRA-19,SEED-CONTRA-19-P3,contraception,Should I keep taking my pill even during a month when I'm not having sex or is it okay to stop?
SEED-CONTRA-19,SEED-CONTRA-19-P4,contraception,Is pausing the pill for a month okay if I'm not sexually active or should I stay on it regardless?
SEED-CONTRA-20,SEED-CONTRA-20-P1,contraception,Is it possible to skip the inactive pills and go straight into a new pack?
SEED-CONTRA-20,SEED-CONTRA-20-P2,contraception,Can I bypass the inactive pills and start the next pack right away?
SEED-CONTRA-20,SEED-CONTRA-20-P3,contraception,Am I able to skip past the placebo pills and move directly into another pack?
SEED-CONTRA-20,SEED-CONTRA-20-P4,contraception,Is skipping the inactive pills and starting a new pack immediately something I can do?
SEED-CONTRA-21,SEED-CONTRA-21-P1,contraception,If I change time zones does that affect when I need to take my pill?
SEED-CONTRA-21,SEED-CONTRA-21-P2,contraception,Does traveling across time zones change the timing of my contraceptive pill?
SEED-CONTRA-21,SEED-CONTRA-21-P3,contraception,Should I adjust when I take my pill if I'm in a different time zone?
SEED-CONTRA-21,SEED-CONTRA-21-P4,contraception,Does crossing time zones mess with the schedule for taking my contraceptive pill?
SEED-CONTRA-22,SEED-CONTRA-22-P1,contraception,Is using a condom along with the pill just to be extra careful pointless or does it help?
SEED-CONTRA-22,SEED-CONTRA-22-P2,contraception,Would combining a condom with the pill be unnecessary or is it a good idea for extra safety?
SEED-CONTRA-22,SEED-CONTRA-22-P3,contraception,Is it pointless to use both a condom and the pill together or does that add extra protection?
SEED-CONTRA-22,SEED-CONTRA-22-P4,contraception,Does using a condom and the pill at the same time actually add safety or is that pointless?
SEED-CONTRA-23,SEED-CONTRA-23-P1,contraception,Is it okay to take contraceptive pills prescribed for someone else?
SEED-CONTRA-23,SEED-CONTRA-23-P2,contraception,Can I use birth control pills that belong to someone else's prescription?
SEED-CONTRA-23,SEED-CONTRA-23-P3,contraception,Am I able to take pills that were prescribed to another person?
SEED-CONTRA-23,SEED-CONTRA-23-P4,contraception,Is using someone else's prescribed contraceptive pills something I can do?
SEED-CONTRA-24,SEED-CONTRA-24-P1,contraception,When switching from the pill to an implant is backup protection needed for a while?
SEED-CONTRA-24,SEED-CONTRA-24-P2,contraception,Do I need to use backup contraception for a while if I switch from the pill to an implant?
SEED-CONTRA-24,SEED-CONTRA-24-P3,contraception,Is temporary backup protection required when moving from the pill to an implant?
SEED-CONTRA-24,SEED-CONTRA-24-P4,contraception,If I change from taking the pill to getting an implant will I need extra protection for a while?
SEED-CONTRA-25,SEED-CONTRA-25-P1,contraception,Is it possible to switch from pills to the injection without a gap in protection?
SEED-CONTRA-25,SEED-CONTRA-25-P2,contraception,Can I move from the pill to the contraceptive injection without becoming unprotected?
SEED-CONTRA-25,SEED-CONTRA-25-P3,contraception,How do I switch from pills to the injection without leaving myself without protection?
SEED-CONTRA-25,SEED-CONTRA-25-P4,contraception,Is switching from contraceptive pills to the injection possible without any unprotected period?
SEED-CONTRA-26,SEED-CONTRA-26-P1,contraception,I'm looking for a birth control method that doesn't need daily reminders.
SEED-CONTRA-26,SEED-CONTRA-26-P2,contraception,Is there a contraceptive option that doesn't involve remembering something every single day?
SEED-CONTRA-26,SEED-CONTRA-26-P3,contraception,I'd prefer a method of contraception that I don't have to think about daily.
SEED-CONTRA-26,SEED-CONTRA-26-P4,contraception,What contraceptive methods don't require me to remember to do something every day?
SEED-CONTRA-27,SEED-CONTRA-27-P1,contraception,After getting the contraceptive injection how long until it starts working?
SEED-CONTRA-27,SEED-CONTRA-27-P2,contraception,How soon does the contraceptive injection begin protecting me once I get it?
SEED-CONTRA-27,SEED-CONTRA-27-P3,contraception,Once I receive the contraceptive injection how long before it becomes effective?
SEED-CONTRA-27,SEED-CONTRA-27-P4,contraception,How much time passes after the injection before it starts to protect me?
SEED-CONTRA-28,SEED-CONTRA-28-P1,contraception,I'm concerned that long-term use of the contraceptive injection might impact my future fertility.
SEED-CONTRA-28,SEED-CONTRA-28-P2,contraception,Could using the contraceptive injection for a long period affect my ability to have children later?
SEED-CONTRA-28,SEED-CONTRA-28-P3,contraception,I worry that being on the injection for a long time could hurt my future fertility.
SEED-CONTRA-28,SEED-CONTRA-28-P4,contraception,Does long-term use of the contraceptive injection put my future fertility at risk?
SEED-CONTRA-29,SEED-CONTRA-29-P1,contraception,If my contraceptive patch falls off before it's time to replace it what happens?
SEED-CONTRA-29,SEED-CONTRA-29-P2,contraception,What should I expect if the contraceptive patch detaches early before its replacement time?
SEED-CONTRA-29,SEED-CONTRA-29-P3,contraception,If the patch comes off ahead of schedule what does that mean for my protection?
SEED-CONTRA-29,SEED-CONTRA-29-P4,contraception,What are the consequences if my contraceptive patch peels off before it's due to be changed?
SEED-CONTRA-30,SEED-CONTRA-30-P1,contraception,My contraceptive ring fell out; does that impact my protection?
SEED-CONTRA-30,SEED-CONTRA-30-P2,contraception,The ring came out on its own; will that affect how protected I am?
SEED-CONTRA-30,SEED-CONTRA-30-P3,contraception,My birth control ring slipped out; does that change my level of protection?
SEED-CONTRA-30,SEED-CONTRA-30-P4,contraception,If my contraceptive ring comes out does that affect whether I'm protected?
SEED-CONTRA-31,SEED-CONTRA-31-P1,contraception,During sex the condom felt off and I think it may have slipped but I'm not certain; what should I do?
SEED-CONTRA-31,SEED-CONTRA-31-P2,contraception,I think the condom slipped a little during sex though I'm not sure and it felt strange; what now?
SEED-CONTRA-31,SEED-CONTRA-31-P3,contraception,Something felt weird with the condom during sex and I suspect it slipped but I can't be certain; what's next?
SEED-CONTRA-31,SEED-CONTRA-31-P4,contraception,The condom seemed off during sex and I think it might have slipped slightly but I'm unsure; what should I do?
SEED-CONTRA-32,SEED-CONTRA-32-P1,contraception,The condom broke on me last night and I don't want to get pregnant; how quickly do I need to take the morning-after pill?
SEED-CONTRA-32,SEED-CONTRA-32-P2,contraception,Last night the condom broke and I'm trying to avoid pregnancy; how soon should I take emergency contraception?
SEED-CONTRA-32,SEED-CONTRA-32-P3,contraception,My condom broke the night before and I'm worried about pregnancy; how fast do I need to get the morning-after pill?
SEED-CONTRA-32,SEED-CONTRA-32-P4,contraception,The condom tore last night and I don't want a pregnancy; what's the timeframe for taking the morning-after pill?
SEED-CONTRA-33,SEED-CONTRA-33-P1,contraception,Does wearing two condoms at once give extra protection against pregnancy?
SEED-CONTRA-33,SEED-CONTRA-33-P2,contraception,Is using two condoms simultaneously more effective at preventing pregnancy?
SEED-CONTRA-33,SEED-CONTRA-33-P3,contraception,Would doubling up on condoms provide better pregnancy protection?
SEED-CONTRA-33,SEED-CONTRA-33-P4,contraception,Does stacking two condoms together offer more protection from pregnancy?
SEED-CONTRA-34,SEED-CONTRA-34-P1,contraception,I initially put the condom on inside out and then flipped it around; does that make a difference?
SEED-CONTRA-34,SEED-CONTRA-34-P2,contraception,The condom went on the wrong way at first so I turned it around; is that a problem?
SEED-CONTRA-34,SEED-CONTRA-34-P3,contraception,I accidentally put the condom on backwards and then switched it; does that matter?
SEED-CONTRA-34,SEED-CONTRA-34-P4,contraception,I put the condom on incorrectly and then reversed it; is that something to worry about?
SEED-CONTRA-35,SEED-CONTRA-35-P1,contraception,If I had sex a few days ago can emergency contraception still be effective?
SEED-CONTRA-35,SEED-CONTRA-35-P2,contraception,Would emergency contraception still work if it's been a few days since I had sex?
SEED-CONTRA-35,SEED-CONTRA-35-P3,contraception,Is emergency contraception still useful a few days after having sex?
SEED-CONTRA-35,SEED-CONTRA-35-P4,contraception,Can taking emergency contraception still help even a few days after sex?
SEED-CONTRA-36,SEED-CONTRA-36-P1,contraception,After taking emergency contraception I had unprotected sex again; am I still covered?
SEED-CONTRA-36,SEED-CONTRA-36-P2,contraception,I used emergency contraception and then had sex without protection again; does the protection carry over?
SEED-CONTRA-36,SEED-CONTRA-36-P3,contraception,I had unprotected sex a second time after taking emergency contraception; am I still protected?
SEED-CONTRA-36,SEED-CONTRA-36-P4,contraception,Following emergency contraception I had another instance of unprotected sex; is protection still in place?
SEED-CONTRA-37,SEED-CONTRA-37-P1,contraception,After taking emergency contraception my period changed; could the two be connected?
SEED-CONTRA-37,SEED-CONTRA-37-P2,contraception,My period seems different since I took emergency contraception; could that be why?
SEED-CONTRA-37,SEED-CONTRA-37-P3,contraception,Since taking emergency contraception my period hasn't been the same; is that related?
SEED-CONTRA-37,SEED-CONTRA-37-P4,contraception,I took emergency contraception and my period is now different than usual; could that be the cause?
SEED-CONTRA-38,SEED-CONTRA-38-P1,contraception,Is it okay to use emergency contraception more than once if needed?
SEED-CONTRA-38,SEED-CONTRA-38-P2,contraception,Can I take emergency contraception again if the need arises another time?
SEED-CONTRA-38,SEED-CONTRA-38-P3,contraception,Is repeated use of emergency contraception allowed when necessary?
SEED-CONTRA-38,SEED-CONTRA-38-P4,contraception,Am I able to use emergency contraception again on a different occasion if needed?
SEED-CONTRA-39,SEED-CONTRA-39-P1,contraception,Do antibiotics have any effect on how well my contraception works?
SEED-CONTRA-39,SEED-CONTRA-39-P2,contraception,Could taking antibiotics interfere with my contraceptive method?
SEED-CONTRA-39,SEED-CONTRA-39-P3,contraception,Is there a chance antibiotics reduce how effective my contraception is?
SEED-CONTRA-39,SEED-CONTRA-39-P4,contraception,Might antibiotics impact the effectiveness of my birth control method?
SEED-CONTRA-40,SEED-CONTRA-40-P1,contraception,Could the contraceptive injection or the pill cause my periods to stop altogether?
SEED-CONTRA-40,SEED-CONTRA-40-P2,contraception,Is it possible for the injection or pill to make my periods stop completely?
SEED-CONTRA-40,SEED-CONTRA-40-P3,contraception,Can taking the pill or getting the injection cause my periods to go away?
SEED-CONTRA-40,SEED-CONTRA-40-P4,contraception,Do the injection or the pill have the potential to stop my periods?
SEED-CONTRA-41,SEED-CONTRA-41-P1,contraception,I've been taking the pill for two months and my periods have completely stopped; is this normal or a sign I could be pregnant?
SEED-CONTRA-41,SEED-CONTRA-41-P2,contraception,My periods have stopped entirely after two months on the pill; should this worry me as a possible pregnancy sign?
SEED-CONTRA-41,SEED-CONTRA-41-P3,contraception,After two months on the pill my periods stopped completely; is that expected or should I be concerned about pregnancy?
SEED-CONTRA-41,SEED-CONTRA-41-P4,contraception,It's been two months on the pill and my periods have fully stopped; is that normal or a reason to worry about pregnancy?
SEED-CONTRA-42,SEED-CONTRA-42-P1,contraception,For how long does a contraceptive implant stay effective?
SEED-CONTRA-42,SEED-CONTRA-42-P2,contraception,What's the maximum amount of time a contraceptive implant remains effective?
SEED-CONTRA-42,SEED-CONTRA-42-P3,contraception,How long does a contraceptive implant continue working before it's no longer effective?
SEED-CONTRA-42,SEED-CONTRA-42-P4,contraception,What is the effective lifespan of a contraceptive implant?
SEED-CONTRA-43,SEED-CONTRA-43-P1,contraception,What can I take the next day to avoid getting into trouble?
SEED-CONTRA-43,SEED-CONTRA-43-P2,contraception,"Is there a pill for after, so things don't go wrong?"
SEED-CONTRA-43,SEED-CONTRA-43-P3,contraception,"After being careless last night, is there something I can take today?"
SEED-CONTRA-44,SEED-CONTRA-44-P1,contraception,"I'm late for my injection this month, is that a problem?"
SEED-CONTRA-44,SEED-CONTRA-44-P2,contraception,Does it matter if I miss my usual shot date?
SEED-CONTRA-45,SEED-CONTRA-45-P1,contraception,What should I use to avoid falling pregnant at this time?
SEED-CONTRA-45,SEED-CONTRA-45-P2,contraception,Is there something I can use so I don't end up expecting soon?
SEED-CONTRA-45,SEED-CONTRA-45-P3,contraception,What can help me not fall pregnant for now?
SEED-CONTRA-46,SEED-CONTRA-46-P1,contraception,Does that little rod under the skin really stop pregnancy for years?
SEED-CONTRA-46,SEED-CONTRA-46-P2,contraception,"I heard the arm implant stops you from conceiving for a long time, is that true?"
SEED-CONTRA-47,SEED-CONTRA-47-P1,contraception,"Nothing was used last night, what can I do now?"
SEED-CONTRA-47,SEED-CONTRA-47-P2,contraception,"We went without protection yesterday, what should I do today?"
SEED-CONTRA-47,SEED-CONTRA-47-P3,contraception,"No protection was used, what are my options this morning?"
SEED-CONTRA-48,SEED-CONTRA-48-P1,contraception,Can the injection throw off your monthly cycle?
SEED-CONTRA-48,SEED-CONTRA-48-P2,contraception,Does the shot affect when your monthly comes?
