seed_id,paraphrase_id,class,text
SEED-PREG-01,SEED-PREG-01-P1,pregnancy,How many times do I need to go for antenatal checkups?
SEED-PREG-01,SEED-PREG-01-P2,pregnancy,What's the recommended number of antenatal visits?
SEED-PREG-01,SEED-PREG-01-P3,pregnancy,How often should I attend antenatal care during my pregnancy?
SEED-PREG-01,SEED-PREG-01-P4,pregnancy,Do I need to go for multiple antenatal visits and how many?
SEED-PREG-02,SEED-PREG-02-P1,pregnancy,Am I allowed to continue school while pregnant?
SEED-PREG-02,SEED-PREG-02-P2,pregnancy,Will I be able to stay in school if I'm pregnant?
SEED-PREG-02,SEED-PREG-02-P3,pregnancy,Can I keep attending classes during my pregnancy?
SEED-PREG-02,SEED-PREG-02-P4,pregnancy,Is it possible to still be a student while pregnant?
SEED-PREG-03,SEED-PREG-03-P1,pregnancy,What health risks come with being pregnant as a teenager?
SEED-PREG-03,SEED-PREG-03-P2,pregnancy,Is having a baby young more risky for my health?
SEED-PREG-03,SEED-PREG-03-P3,pregnancy,What are the dangers of teenage pregnancy for my health?
SEED-PREG-03,SEED-PREG-03-P4,pregnancy,How risky is it health-wise to have a baby while still a teenager?
SEED-PREG-04,SEED-PREG-04-P1,pregnancy,Is antenatal care free?
SEED-PREG-04,SEED-PREG-04-P2,pregnancy,Will I be charged for going to antenatal checkups?
SEED-PREG-04,SEED-PREG-04-P3,pregnancy,Do I need money to access antenatal care?
SEED-PREG-04,SEED-PREG-04-P4,pregnancy,Is there a cost for antenatal visits?
SEED-PREG-05,SEED-PREG-05-P1,pregnancy,Am I allowed to have my baby at home instead of at a clinic?
SEED-PREG-05,SEED-PREG-05-P2,pregnancy,Is it okay to give birth at home rather than in a hospital?
SEED-PREG-05,SEED-PREG-05-P3,pregnancy,Can I decide to deliver at home instead of a health facility?
SEED-PREG-05,SEED-PREG-05-P4,pregnancy,Is home birth an option instead of going to a clinic?
SEED-PREG-06,SEED-PREG-06-P1,pregnancy,Do I have to get a pelvic exam immediately at the clinic?
SEED-PREG-06,SEED-PREG-06-P2,pregnancy,Will they make me have a pelvic exam as soon as I arrive?
