seed_id,paraphrase_id,class,text
SEED-STI-17,SEED-STI-17-P1,sti,I've noticed a few tiny painless bumps around my vulva that don't itch; how can I tell if it's razor burn or an infection?
SEED-STI-17,SEED-STI-17-P2,sti,There are a few small painless bumps near my vulva that aren't itchy; how do I know if that's razor burn or an infection?
SEED-STI-17,SEED-STI-17-P3,sti,I found a few tiny bumps around my vulva that don't itch or hurt; how can I tell whether it's razor burn or an infection?
SEED-STI-17,SEED-STI-17-P4,sti,A few painless little bumps showed up around my vulva without any itching; how do I figure out if that's razor burn or an infection?
SEED-STI-18,SEED-STI-18-P1,sti,Is it possible to catch an STI by sharing a towel or from a toilet seat that someone with an STI used before you?
SEED-STI-18,SEED-STI-18-P2,sti,Is it possible to get an STI from sharing a towel or from a public toilet seat if someone with an STI used it before you?
SEED-STI-18,SEED-STI-18-P3,sti,Could sharing a towel or sitting where someone with an STI sat on a public toilet seat pass the infection to you?
SEED-STI-18,SEED-STI-18-P4,sti,If the person before you on a public toilet seat or sharing a towel had an STI can that spread it to you?
SEED-STI-19,SEED-STI-19-P1,sti,My partner had cold sores as a child; can giving oral sex cause an infection around my genitals?
SEED-STI-19,SEED-STI-19-P2,sti,Since my partner had cold sores when they were a child could oral sex give me an infection around my genitals?
SEED-STI-19,SEED-STI-19-P3,sti,My partner used to get cold sores as a kid; does that mean giving oral sex could infect my genital area?
SEED-STI-19,SEED-STI-19-P4,sti,Given that my partner had cold sores in childhood can performing oral sex cause a genital infection for me?
SEED-STI-20,SEED-STI-20-P1,sti,I have yellowish discharge that smells different but no itching or bumps; could this mean I have an STI?
SEED-STI-20,SEED-STI-20-P2,sti,My discharge is yellowish and smells unusual with no itching or bumps; could that indicate an STI?
SEED-STI-20,SEED-STI-20-P3,sti,There's a yellowish discharge with a different smell but no itching or bumps; does that suggest an STI?
SEED-STI-20,SEED-STI-20-P4,sti,I noticed yellowish oddly-smelling discharge without any itching or bumps; could this be a sign of an STI?
SEED-STI-21,SEED-STI-21-P1,sti,If both me and my partner have never had sex before do we still need to get tested for STIs?
SEED-STI-21,SEED-STI-21-P2,sti,Since neither my partner nor I have ever had sex before is STI testing still necessary for us?
SEED-STI-21,SEED-STI-21-P3,sti,My partner and I have both never had sex before; do we still need STI tests?
SEED-STI-21,SEED-STI-21-P4,sti,Given that neither of us has had sex before is it still important for me and my partner to get tested for STIs?
SEED-STI-22,SEED-STI-22-P1,sti,I tested negative last week but my partner was just diagnosed with trichomoniasis; do I need treatment anyway?
SEED-STI-22,SEED-STI-22-P2,sti,My test came back negative last week but my partner was just diagnosed with trichomoniasis; should I still get treated?
SEED-STI-22,SEED-STI-22-P3,sti,Last week I tested negative though my partner has now been diagnosed with trichomoniasis; do I still need treatment?
SEED-STI-22,SEED-STI-22-P4,sti,I got a negative result last week but since my partner was just diagnosed with trichomoniasis do I need treatment regardless?
SEED-STI-23,SEED-STI-23-P1,sti,Does a Pap smear check for all STIs or do I need to ask the nurse for specific tests?
SEED-STI-23,SEED-STI-23-P2,sti,Will a Pap smear cover all STIs or should I request specific tests from the nurse?
