seed_id,class,fold
SEED-CONTRA-01,contraception,1
SEED-CONTRA-04,contraception,1
SEED-CONTRA-10,contraception,1
SEED-CONTRA-11,contraception,1
SEED-CONTRA-14,contraception,1
SEED-CONTRA-30,contraception,1
SEED-CONTRA-32,contraception,1
SEED-CONTRA-43,contraception,1
SEED-CONTRA-48,contraception,1
SEED-GEN-11,general,1
SEED-GEN-14,general,1
SEED-GEN-26,general,1
SEED-GEN-29,general,1
SEED-GEN-32,general,1
SEED-GEN-34,general,1
SEED-GEN-35,general,1
SEED-GEN-42,general,1
SEED-GEN-50,general,1
SEED-GEN-53,general,1
SEED-GEN-58,general,1
SEED-PREG-16,general,1
SEED-PREG-04,pregnancy,1
SEED-PREG-09,pregnancy,1
SEED-PREG-10,pregnancy,1
SEED-PREG-11,pregnancy,1
SEED-PREG-15,pregnancy,1
SEED-PREG-21,pregnancy,1
SEED-PREG-23,pregnancy,1
SEED-PREG-25,pregnancy,1
SEED-PREG-28,pregnancy,1
SEED-PREG-31,pregnancy,1
SEED-GEN-46,sti,1
SEED-STI-02,sti,1
SEED-STI-04,sti,1
SEED-STI-05,sti,1
SEED-STI-09,sti,1
SEED-STI-10,sti,1
SEED-STI-12,sti,1
SEED-STI-17,sti,1
SEED-STI-21,sti,1
SEED-STI-41,sti,1
SEED-STI-50,sti,1
SEED-CONTRA-06,contraception,2
SEED-CONTRA-07,contraception,2
SEED-CONTRA-15,contraception,2
SEED-CONTRA-16,contraception,2
SEED-CONTRA-17,contraception,2
SEED-CONTRA-22,contraception,2
SEED-CONTRA-23,contraception,2
SEED-CONTRA-24,contraception,2
SEED-CONTRA-27,contraception,2
SEED-CONTRA-35,contraception,2
SEED-GEN-04,general,2
SEED-GEN-10,general,2
SEED-GEN-13,general,2
SEED-GEN-18,general,2
SEED-GEN-21,general,2
SEED-GEN-22,general,2
SEED-GEN-28,general,2
SEED-GEN-45,general,2
SEED-GEN-49,general,2
SEED-GEN-52,general,2
SEED-GEN-55,general,2
SEED-PREG-02,pregnancy,2
SEED-PREG-06,pregnancy,2
SEED-PREG-12,pregnancy,2
SEED-PREG-32,pregnancy,2
SEED-PREG-36,pregnancy,2
SEED-PREG-37,pregnancy,2
SEED-PREG-41,pregnancy,2
SEED-PREG-42,pregnancy,2
SEED-PREG-50,pregnancy,2
SEED-STI-07,sti,2
SEED-STI-08,sti,2
SEED-STI-16,sti,2
SEED-STI-19,sti,2
SEED-STI-25,sti,2
SEED-STI-35,sti,2
SEED-STI-37,sti,2
SEED-STI-42,sti,2
SEED-STI-43,sti,2
SEED-STI-46,sti,2
SEED-STI-49,sti,2
SEED-CONTRA-02,contraception,3
SEED-CONTRA-05,contraception,3
SEED-CONTRA-20,contraception,3
SEED-CONTRA-29,contraception,3
SEED-CONTRA-31,contraception,3
SEED-CONTRA-34,contraception,3
SEED-CONTRA-39,contraception,3
SEED-CONTRA-44,contraception,3
SEED-CONTRA-45,contraception,3
SEED-GEN-08,general,3
SEED-GEN-12,general,3
SEED-GEN-16,general,3
SEED-GEN-20,general,3
SEED-GEN-27,general,3
SEED-GEN-30,general,3
SEED-GEN-33,general,3
SEED-GEN-38,general,3
SEED-GEN-40,general,3
SEED-GEN-41,general,3
SEED-GEN-54,general,3
SEED-PREG-03,pregnancy,3
SEED-PREG-07,pregnancy,3
SEED-PREG-08,pregnancy,3
SEED-PREG-13,pregnancy,3
SEED-PREG-19,pregnancy,3
SEED-PREG-20,pregnancy,3
SEED-PREG-27,pregnancy,3
SEED-PREG-33,pregnancy,3
SEED-PREG-35,pregnancy,3
SEED-PREG-39,pregnancy,3
SEED-STI-11,sti,3
SEED-STI-15,sti,3
SEED-STI-18,sti,3
SEED-STI-23,sti,3
SEED-STI-26,sti,3
SEED-STI-28,sti,3
SEED-STI-33,sti,3
SEED-STI-36,sti,3
SEED-STI-38,sti,3
SEED-STI-39,sti,3
SEED-STI-54,sti,3
SEED-CONTRA-08,contraception,4
SEED-CONTRA-12,contraception,4
SEED-CONTRA-13,contraception,4
SEED-CONTRA-19,contraception,4
SEED-CONTRA-33,contraception,4
SEED-CONTRA-38,contraception,4
SEED-CONTRA-41,contraception,4
SEED-CONTRA-42,contraception,4
SEED-CONTRA-47,contraception,4
SEED-GEN-01,general,4
SEED-GEN-02,general,4
SEED-GEN-06,general,4
SEED-GEN-07,general,4
SEED-GEN-09,general,4
SEED-GEN-15,general,4
SEED-GEN-31,general,4
SEED-GEN-36,general,4
SEED-GEN-44,general,4
SEED-GEN-47,general,4
SEED-GEN-51,general,4
SEED-GEN-57,general,4
SEED-PREG-01,pregnancy,4
SEED-PREG-17,pregnancy,4
SEED-PREG-18,pregnancy,4
SEED-PREG-22,pregnancy,4
SEED-PREG-29,pregnancy,4
SEED-PREG-38,pregnancy,4
SEED-PREG-40,pregnancy,4
SEED-PREG-44,pregnancy,4
SEED-PREG-51,pregnancy,4
SEED-STI-01,sti,4
SEED-STI-03,sti,4
SEED-STI-06,sti,4
SEED-STI-30,sti,4
SEED-STI-32,sti,4
SEED-STI-34,sti,4
SEED-STI-40,sti,4
SEED-STI-45,sti,4
SEED-STI-51,sti,4
SEED-STI-52,sti,4
SEED-STI-55,sti,4
SEED-CONTRA-03,contraception,5
SEED-CONTRA-09,contraception,5
SEED-CONTRA-18,contraception,5
SEED-CONTRA-21,contraception,5
SEED-CONTRA-25,contraception,5
SEED-CONTRA-26,contraception,5
SEED-CONTRA-28,contraception,5
SEED-CONTRA-36,contraception,5
SEED-CONTRA-37,contraception,5
SEED-CONTRA-40,contraception,5
SEED-GEN-03,general,5
SEED-GEN-05,general,5
SEED-GEN-17,general,5
SEED-GEN-19,general,5
SEED-GEN-23,general,5
SEED-GEN-24,general,5
SEED-GEN-25,general,5
SEED-GEN-39,general,5
SEED-GEN-43,general,5
SEED-GEN-48,general,5
SEED-PREG-24,general,5
SEED-PREG-05,pregnancy,5
SEED-PREG-14,pregnancy,5
SEED-PREG-26,pregnancy,5
SEED-PREG-30,pregnancy,5
SEED-PREG-34,pregnancy,5
SEED-PREG-43,pregnancy,5
SEED-PREG-45,pregnancy,5
SEED-PREG-46,pregnancy,5
SEED-PREG-47,pregnancy,5
SEED-PREG-48,pregnancy,5
SEED-STI-13,sti,5
SEED-STI-14,sti,5
SEED-STI-20,sti,5
SEED-STI-22,sti,5
SEED-STI-24,sti,5
SEED-STI-27,sti,5
SEED-STI-29,sti,5
SEED-STI-31,sti,5
SEED-STI-44,sti,5
SEED-STI-48,sti,5
SEED-STI-53,sti,5
SEED-CONTRA-46,contraception,euphemism_holdout
SEED-GEN-56,general,euphemism_holdout
SEED-PREG-49,pregnancy,euphemism_holdout
SEED-STI-47,sti,euphemism_holdout
