seed_id,class,split
SEED-CONTRA-01,contraception,train
SEED-CONTRA-02,contraception,train
SEED-CONTRA-03,contraception,train
SEED-CONTRA-04,contraception,train
SEED-CONTRA-05,contraception,train
SEED-CONTRA-06,contraception,train
SEED-CONTRA-07,contraception,train
SEED-CONTRA-08,contraception,train
SEED-CONTRA-09,contraception,val
SEED-CONTRA-10,contraception,train
SEED-CONTRA-11,contraception,train
SEED-CONTRA-12,contraception,train
SEED-CONTRA-13,contraception,val
SEED-CONTRA-14,contraception,train
SEED-STI-01,sti,train
SEED-STI-02,sti,train
SEED-STI-03,sti,val
SEED-STI-04,sti,train
SEED-STI-05,sti,train
SEED-STI-06,sti,train
SEED-STI-07,sti,train
SEED-STI-08,sti,train
SEED-STI-09,sti,train
SEED-STI-10,sti,train
SEED-STI-11,sti,train
SEED-STI-12,sti,train
SEED-STI-13,sti,train
SEED-STI-14,sti,val
SEED-STI-15,sti,train
SEED-STI-16,sti,train
SEED-PREG-01,pregnancy,train
SEED-PREG-02,pregnancy,train
SEED-PREG-03,pregnancy,train
SEED-PREG-04,pregnancy,train
SEED-PREG-05,pregnancy,train
SEED-PREG-06,pregnancy,train
SEED-PREG-07,pregnancy,train
SEED-PREG-08,pregnancy,val
SEED-PREG-09,pregnancy,val
SEED-PREG-10,pregnancy,train
SEED-PREG-11,pregnancy,train
SEED-PREG-12,pregnancy,train
SEED-PREG-13,pregnancy,train
SEED-PREG-14,pregnancy,train
SEED-PREG-15,pregnancy,train
SEED-GEN-01,general,train
SEED-GEN-02,general,train
SEED-GEN-03,general,train
SEED-GEN-04,general,train
SEED-GEN-05,general,train
SEED-GEN-06,general,train
SEED-GEN-07,general,val
SEED-GEN-08,general,train
SEED-GEN-09,general,train
SEED-GEN-10,general,val
