seed_id,paraphrase_id,class,text
SEED-PREG-16,SEED-PREG-16-P1,general,Even though I haven't had sex recently my period is late; could there be another cause?
SEED-PREG-16,SEED-PREG-16-P2,general,I haven't had sex recently but my period is late; what else could be causing that?
SEED-PREG-16,SEED-PREG-16-P3,general,My period is late despite not having had sex recently; is there another explanation?
SEED-PREG-16,SEED-PREG-16-P4,general,Something other than sex might be causing my late period since I haven't had sex recently; what could it be?
SEED-PREG-24,SEED-PREG-24-P1,general,Could stress or intense exercise cause a late period rather than pregnancy?
SEED-PREG-24,SEED-PREG-24-P2,general,Is it possible for stress or intense exercise to delay my period instead of it being pregnancy?
SEED-PREG-24,SEED-PREG-24-P3,general,Might stress or intense exercise be the reason for a late period rather than pregnancy?
SEED-PREG-24,SEED-PREG-24-P4,general,Can a late period be caused by stress or intense exercise instead of pregnancy?
SEED-GEN-11,SEED-GEN-11-P1,general,What does giving consent to something actually involve?
SEED-GEN-11,SEED-GEN-11-P2,general,What's the real meaning of giving consent to something?
SEED-GEN-11,SEED-GEN-11-P3,general,What does it truly mean when someone gives consent to something?
SEED-GEN-11,SEED-GEN-11-P4,general,What is actually meant by giving consent to something?
SEED-GEN-12,SEED-GEN-12-P1,general,What's a way to say no to sex in a relationship without making it awkward?
SEED-GEN-12,SEED-GEN-12-P2,general,How do I decline sex in a relationship without things feeling uncomfortable?
SEED-GEN-12,SEED-GEN-12-P3,general,What's the best way to turn down sex in a relationship without it being awkward?
SEED-GEN-12,SEED-GEN-12-P4,general,How can I say no to sex with a partner without it feeling weird?
SEED-GEN-13,SEED-GEN-13-P1,general,Is it common to feel pressure from friends to have sex before I'm ready?
SEED-GEN-13,SEED-GEN-13-P2,general,Is it normal for friends to make me feel pressured into having sex before I'm ready?
SEED-GEN-13,SEED-GEN-13-P3,general,Is feeling pressured by friends to have sex before I'm ready something that happens normally?
SEED-GEN-13,SEED-GEN-13-P4,general,Is it typical to feel pushed by friends toward having sex before I'm ready?
SEED-GEN-14,SEED-GEN-14-P1,general,What should I do if a partner continues asking for sex after I've said I'm not ready?
SEED-GEN-14,SEED-GEN-14-P2,general,If a partner won't stop asking for sex even after I said I'm not ready what should I do?
SEED-GEN-14,SEED-GEN-14-P3,general,What's the right move if a partner keeps pushing for sex after I've said I'm not ready?
SEED-GEN-14,SEED-GEN-14-P4,general,What can I do if my partner keeps requesting sex even though I've said I'm not ready?
SEED-GEN-15,SEED-GEN-15-P1,general,What are some indicators that a relationship is healthy versus unhealthy?
SEED-GEN-15,SEED-GEN-15-P2,general,How can you tell the signs of a healthy relationship from an unhealthy one?
SEED-GEN-15,SEED-GEN-15-P3,general,What signs point to a relationship being healthy rather than unhealthy?
SEED-GEN-15,SEED-GEN-15-P4,general,What are the signs that distinguish a healthy relationship from an unhealthy one?
SEED-GEN-16,SEED-GEN-16-P1,general,What's the best way to tell my partner I want to use a condom if they seem hesitant?
SEED-GEN-16,SEED-GEN-16-P2,general,How can I let my partner know I want to use a condom if they seem unwilling?
SEED-GEN-16,SEED-GEN-16-P3,general,How should I bring up wanting to use a condom if my partner seems reluctant?
SEED-GEN-16,SEED-GEN-16-P4,general,How do I communicate wanting a condom to my partner if they seem reluctant about it?
SEED-GEN-17,SEED-GEN-17-P1,general,Is it fine to ask a partner to get tested before having sex?
SEED-GEN-17,SEED-GEN-17-P2,general,Is it acceptable to request that a partner get tested before we have sex?
SEED-GEN-17,SEED-GEN-17-P3,general,Is it appropriate to ask my partner to get tested before we're sexually active together?
SEED-GEN-17,SEED-GEN-17-P4,general,Can I ask a partner to get tested before we start having sex?
SEED-GEN-18,SEED-GEN-18-P1,general,Is it normal to feel nervous or unsure about having sex the first time?
SEED-GEN-18,SEED-GEN-18-P2,general,Is it common to feel uncertain or nervous the first time you have sex?
SEED-GEN-18,SEED-GEN-18-P3,general,Is feeling nervous or unsure about having sex for the first time typical?
SEED-GEN-18,SEED-GEN-18-P4,general,Is it usual to feel unsure or anxious about having sex for the first time?
SEED-GEN-19,SEED-GEN-19-P1,general,Is it possible for a health worker to tell if someone has had sex just by examining them?
SEED-GEN-19,SEED-GEN-19-P2,general,Can an examination by a health worker reveal whether someone has had sex before?
SEED-GEN-19,SEED-GEN-19-P3,general,Could a health worker know if a person has had sex before simply by examining them?
SEED-GEN-19,SEED-GEN-19-P4,general,Is it true a health worker can tell from an exam alone if someone has had sex before?
SEED-GEN-20,SEED-GEN-20-P1,general,Is being in a relationship required to visit a youth clinic?
SEED-GEN-20,SEED-GEN-20-P2,general,Do I need to be dating someone to go to a youth clinic?
SEED-GEN-20,SEED-GEN-20-P3,general,Is a relationship necessary before I can go to a youth clinic?
SEED-GEN-20,SEED-GEN-20-P4,general,Am I required to be in a relationship to visit a youth clinic?
SEED-GEN-21,SEED-GEN-21-P1,general,Is it still okay to ask for SRH advice if I haven't had sex yet?
SEED-GEN-21,SEED-GEN-21-P2,general,Can I get SRH advice even though I haven't had sex yet?
SEED-GEN-21,SEED-GEN-21-P3,general,Am I able to ask for SRH advice even if I'm not sexually active yet?
SEED-GEN-21,SEED-GEN-21-P4,general,Is it fine to seek SRH advice before I've ever had sex?
SEED-GEN-22,SEED-GEN-22-P1,general,Is it okay to ask a health worker about sex even if that's not the reason I came in?
SEED-GEN-22,SEED-GEN-22-P2,general,Can I bring up sex-related questions with a health worker even if that's not why I visited?
SEED-GEN-22,SEED-GEN-22-P3,general,Am I allowed to ask a health worker about sex even when that's not my reason for being there?
SEED-GEN-22,SEED-GEN-22-P4,general,Is it fine to ask sex-related questions to a health worker even if it's unrelated to my visit?
SEED-GEN-23,SEED-GEN-23-P1,general,What's the real difference between being sexually active and being in a relationship?
SEED-GEN-23,SEED-GEN-23-P2,general,How is being sexually active actually different from being in a relationship?
SEED-GEN-23,SEED-GEN-23-P3,general,What truly separates being sexually active from being in a relationship?
SEED-GEN-23,SEED-GEN-23-P4,general,What is the actual distinction between being sexually active and being in a relationship?
SEED-GEN-24,SEED-GEN-24-P1,general,Why is communication said to matter so much in relationships?
SEED-GEN-24,SEED-GEN-24-P2,general,Why do people emphasize communication being so important in relationships?
SEED-GEN-24,SEED-GEN-24-P3,general,What's the reason people say communication is so important in relationships?
