seed_id,paraphrase_id,class,text
SEED-STI-01,SEED-STI-01-P01,sti,How can I tell whether I might have an STI?
SEED-STI-01,SEED-STI-01-P02,sti,What are the signs that I could have an STI?
SEED-STI-01,SEED-STI-01-P03,sti,How would I know if I had an STI?
SEED-STI-01,SEED-STI-01-P04,sti,Is there a way to tell if I have an STI?
SEED-STI-02,SEED-STI-02-P01,sti,Can I take an HIV test without my parents being told?
SEED-STI-02,SEED-STI-02-P02,sti,Is it possible to get an HIV test without informing my parents?
SEED-STI-02,SEED-STI-02-P03,sti,Can I be tested for HIV privately without telling my parents?
SEED-STI-02,SEED-STI-02-P04,sti,Do I have to tell my parents if I want to get an HIV test?
SEED-STI-03,SEED-STI-03-P01,sti,"What does PrEP mean, and can teenagers take it?"
SEED-STI-03,SEED-STI-03-P02,sti,"Can teenagers use PrEP, and what is it?"
SEED-STI-03,SEED-STI-03-P03,sti,Could you explain what PrEP is and whether it is for teenagers?
SEED-STI-03,SEED-STI-03-P04,sti,Is PrEP something teenagers can use?
SEED-STI-04,SEED-STI-04-P01,sti,How long after sex should I wait before taking an HIV test that is accurate?
SEED-STI-04,SEED-STI-04-P02,sti,When can I get a reliable HIV test after sex?
SEED-STI-04,SEED-STI-04-P03,sti,How soon can an HIV test accurately show a result after sex?
SEED-STI-04,SEED-STI-04-P04,sti,How long do I need to wait after sex to get an accurate HIV test?
SEED-STI-05,SEED-STI-05-P01,sti,Should I get the HPV vaccine if I am not sexually active?
SEED-STI-05,SEED-STI-05-P02,sti,Is the HPV vaccine still needed if I have not had sex?
SEED-STI-05,SEED-STI-05-P03,sti,Does being sexually inactive mean I do not need the HPV vaccine?
SEED-STI-05,SEED-STI-05-P04,sti,Would the HPV vaccine be recommended even if I am not sexually active?
SEED-STI-06,SEED-STI-06-P01,sti,Are STIs completely curable?
SEED-STI-06,SEED-STI-06-P02,sti,Can an STI be fully cured?
SEED-STI-06,SEED-STI-06-P03,sti,Is it possible to get rid of an STI completely?
SEED-STI-06,SEED-STI-06-P04,sti,Do all STIs go away completely with treatment?
SEED-STI-07,SEED-STI-07-P01,sti,What happens when you have an HIV test?
SEED-STI-07,SEED-STI-07-P02,sti,What is the process like when I get tested for HIV?
SEED-STI-07,SEED-STI-07-P03,sti,What should I expect during an HIV test?
SEED-STI-07,SEED-STI-07-P04,sti,Can you explain what happens during an HIV test?
SEED-STI-08,SEED-STI-08-P01,sti,Can an STI be treated before having a lab test?
SEED-STI-08,SEED-STI-08-P02,sti,Do I always need a lab test before I can be treated for an STI?
SEED-STI-08,SEED-STI-08-P03,sti,Is it possible to receive STI treatment without a lab test first?
SEED-STI-08,SEED-STI-08-P04,sti,Can a healthcare provider treat an STI without doing a lab test beforehand?
SEED-STI-09,SEED-STI-09-P01,sti,Why do girls have a higher chance of getting STIs than boys?
SEED-STI-09,SEED-STI-09-P02,sti,What makes girls more likely to get STIs than boys?
SEED-STI-09,SEED-STI-09-P03,sti,Why is the risk of STIs higher for girls than for boys?
SEED-STI-09,SEED-STI-09-P04,sti,"Are girls really more likely to get STIs than boys, and why?"
SEED-STI-10,SEED-STI-10-P01,sti,Is it normal to be nervous about getting tested?
SEED-STI-10,SEED-STI-10-P02,sti,Should I be worried if I feel scared about getting tested?
SEED-STI-10,SEED-STI-10-P03,sti,Is feeling afraid before an STI test normal?
SEED-STI-10,SEED-STI-10-P04,sti,Can it be normal to feel anxious about getting tested?
SEED-STI-11,SEED-STI-11-P01,sti,Can someone have an STI without realizing it?
SEED-STI-11,SEED-STI-11-P02,sti,Is it possible to have an STI and not know?
SEED-STI-11,SEED-STI-11-P03,sti,Could I have an STI without noticing any signs?
SEED-STI-11,SEED-STI-11-P04,sti,Can an STI be present even if I do not know I have it?
SEED-STI-12,SEED-STI-12-P01,sti,Why does it hurt or burn when I pee?
SEED-STI-12,SEED-STI-12-P02,sti,What could cause a burning feeling when I urinate?
SEED-STI-12,SEED-STI-12-P03,sti,Why do I feel a burning sensation when I pee?
SEED-STI-12,SEED-STI-12-P04,sti,What might make it burn when I go to the bathroom?
SEED-STI-13,SEED-STI-13-P01,sti,Is this kind of discharge normal?
SEED-STI-13,SEED-STI-13-P02,sti,Should I be concerned about this discharge?
SEED-STI-13,SEED-STI-13-P03,sti,Could this discharge be normal?
SEED-STI-13,SEED-STI-13-P04,sti,How can I tell if this discharge is normal?
SEED-STI-14,SEED-STI-14-P01,sti,How long after sex should I wait to get tested for STIs?
SEED-STI-14,SEED-STI-14-P02,sti,When can I test for STIs after sex?
SEED-STI-14,SEED-STI-14-P03,sti,How soon can an STI test be done after sex?
SEED-STI-14,SEED-STI-14-P04,sti,How long does it take before I can test for an STI after sex?
SEED-STI-15,SEED-STI-15-P01,sti,Can I still get an STI if my partner has no symptoms?
SEED-STI-15,SEED-STI-15-P02,sti,Is it possible for my partner to have no symptoms and still pass on an STI?
SEED-STI-15,SEED-STI-15-P03,sti,Could I get an STI from a partner who does not have any symptoms?
SEED-STI-15,SEED-STI-15-P04,sti,Can someone without STI symptoms still transmit an STI?
SEED-STI-16,SEED-STI-16-P01,sti,Can sitting on a dirty toilet seat give me an STI?
SEED-STI-16,SEED-STI-16-P02,sti,Is it possible to get an STI from using a dirty toilet?
SEED-STI-16,SEED-STI-16-P03,sti,Could I catch an STI by sitting on a dirty toilet seat?
SEED-STI-16,SEED-STI-16-P04,sti,Can an STI be passed to me from a dirty toilet?
